country,count
Malawi,242
Spain,238
Cook Islands,234
Netherlands Antilles,234
Svalbard & Jan Mayen Islands,234
Tajikistan,233
Italy,232
Malaysia,232
Samoa,232
Nauru,231
Niger,231
Taiwan,231
Angola,229
Dominica,229
Venezuela,229
Hungary,228
Luxembourg,228
Saint Helena,228
Martinique,227
Cambodia,226
Colombia,226
Timor-Leste,226
Turks and Caicos Islands,226
Singapore,225
Somalia,225
Bouvet Island (Bouvetoya),224
Falkland Islands (Malvinas),224
Lebanon,224
Niue,224
Rwanda,224
Virgin Islands U.S.,224
Greenland,222
Pitcairn Islands,222
Swaziland,222
United Kingdom,222
Argentina,221
Christmas Island,221
Ethiopia,221
Gibraltar,221
Nicaragua,221
United States Minor Outlying Islands,221
Saint Barthelemy,220
Honduras,219
Mauritania,219
Mauritius,219
Mexico,219
Mozambique,219
British Indian Ocean Territory (Chagos Archipelago),218
Chad,218
Equatorial Guinea,218
Palestinian Territory,218
Uruguay,218
Guadeloupe,217
Guatemala,217
Guernsey,217
Liberia,217
Lithuania,217
Cuba,216
Iran,216
Togo,216
Bolivia,215
Morocco,215
Poland,215
Saint Lucia,215
Sri Lanka,215
Chile,214
Gabon,214
San Marino,214
South Africa,214
Turkmenistan,214
Ukraine,214
Belarus,213
Japan,213
Kyrgyz Republic,213
Pakistan,213
Papua New Guinea,213
Portugal,213
South Georgia and the South Sandwich Islands,213
Suriname,213
Tokelau,213
Denmark,212
Namibia,212
Romania,212
Burundi,211
Finland,211
Ireland,211
Latvia,211
Mali,211
Norway,211
Republic of Korea,211
Seychelles,211
Wallis and Futuna,211
Bhutan,210
Djibouti,210
Guinea,210
Liechtenstein,210
Zimbabwe,210
Comoros,209
Kiribati,209
Mayotte,209
Thailand,209
Australia,208
Congo,208
French Southern Territories,208
Georgia,208
Kenya,208
Solomon Islands,208
Vietnam,208
Canada,207
Cayman Islands,207
Mongolia,207
Panama,207
Antigua and Barbuda,206
Bermuda,206
Saint Vincent and the Grenadines,206
Faroe Islands,205
France,205
French Polynesia,205
Heard Island and McDonald Islands,205
Kuwait,205
Peru,205
Vanuatu,205
Virgin Islands British,205
Bangladesh,204
Brazil,204
Bulgaria,204
Dominican Republic,204
Egypt,204
Israel,204
Jersey,204
Micronesia,204
Aruba,203
Bosnia and Herzegovina,203
Botswana,203
Ecuador,203
French Guiana,203
Iceland,203
Sierra Leone,203
Czech Republic,202
Haiti,202
Hong Kong,202
Iraq,202
Lao People's Democratic Republic,202
Norfolk Island,202
Puerto Rico,202
Saudi Arabia,202
Trinidad and Tobago,202
Zambia,202
Estonia,201
Germany,201
Netherlands,201
Paraguay,201
Albania,200
Holy See (Vatican City State),200
Oman,200
Saint Kitts and Nevis,200
Cote d'Ivoire,199
Fiji,199
Gambia,199
Madagascar,199
Marshall Islands,199
Palau,199
Bahamas,198
Belize,198
Guinea-Bissau,198
Montenegro,198
Montserrat,198
New Caledonia,198
New Zealand,198
Afghanistan,197
Barbados,197
Monaco,197
Tunisia,197
Cameroon,196
Democratic People's Republic of Korea,196
Eritrea,196
Kazakhstan,196
Uganda,196
Ghana,195
Guam,195
Malta,195
Northern Mariana Islands,195
Western Sahara,195
Yemen,195
Azerbaijan,194
Brunei Darussalam,194
Croatia,194
Maldives,194
Serbia,194
Belgium,193
Cyprus,193
Nigeria,193
Tuvalu,193
Andorra,192
Grenada,192
Saint Pierre and Miquelon,192
Lesotho,191
Nepal,191
Sweden,191
Anguilla,190
Jamaica,190
Qatar,190
Russian Federation,190
Central African Republic,189
Guyana,189
India,189
Moldova,189
Reunion,189
Myanmar,188
United States of America,188
Austria,187
Greece,187
Macedonia,187
Philippines,187
Bahrain,186
Uzbekistan,186
Algeria,185
Antarctica (the territory South of 60 deg S),185
Indonesia,185
Jordan,185
Costa Rica,184
Tonga,184
United Arab Emirates,184
El Salvador,183
Saint Martin,183
Syrian Arab Republic,183
Turkey,183
American Samoa,182
Burkina Faso,182
Switzerland,182
Benin,181
Macao,181
Slovenia,181
Sudan,180
China,179
Senegal,179
Slovakia (Slovak Republic),179
Armenia,175
Sao Tome and Principe,174
Cape Verde,172
Libyan Arab Jamahiriya,172
Isle of Man,170
Tanzania,165
Cocos (Keeling) Islands,164
